Tag;DatumZeit;Datum_Probenahme;Zeitpunkt_Probenahme;Datum_Auszaehlung;Verduennung;Anzahl_Zellen_p_s;Anzahl_Zellen_unklar;Konzentration_Algen_p_s;Konzentration_Algen_unbestimmt;log10_Konzentration;Trockenmasse_gL
0;45201 0.479166666666667;02.10.2023;11:30;NA;NA;NA;NA;NA;NA;NA;NA
0;45202 0.552083333333333;03.10.2023;13:15;09.10.2023;1.00;NA;NA;NA;NA;NA;NA
2;45204 0.510416666666667;05.10.2023;12:15;09.10.2023;1.00;NA;NA;NA;NA;NA;NA
3;45205 0.5625;06.10.2023;13:30;09.10.2023;1.00;0.57;0.57;2295455;2295455;6.36;NA
6;45208 0.53125;09.10.2023;12:45;09.10.2023;1.00;1.51;1.51;6050000;6050000;6.78;NA
8;45210 0.520833333333333;11.10.2023;12:30;16.10.2023;1.00;5.23;5.23;20937500;20937500;7.32;NA
9;45211 0.458333333333333;12.10.2023;11:00;16.10.2023;1.00;7.67;7.67;30687500;30687500;7.49;NA
13;45215 0.552083333333333;16.10.2023;13:15;16.10.2023;0.10;4.61;4.61;184375000;184375000;8.27;2.325
14;45216 0.604166666666667;17.10.2023;14:30;17.10.2023;0.10;31.8125;31.81;1272500000;1272500000;9.10;2.675
; ;;;;;;;;;;
