Tag;Datum_Probenahme;Zeitpunkt_Probenahme;Datum_Auszaehlung;Verduennung;Anzahl_Zellen_p_s;Anzahl_Zellen_unklar;Konzentration_Algen_p_s;Konzentration_Algen_unbestimmt;log10_Konzentration;Trockenmasse_gL
0;02.10.2023;11:30;NA;NA;NA;NA;NA;NA;NA;NA
1;03.10.2023;13:15;09.10.2023;1.00;NA;NA;NA;NA;NA;NA
3;05.10.2023;12:15;09.10.2023;1.00;NA;NA;NA;NA;NA;NA
4;06.10.2023;13:30;09.10.2023;1.00;0.57;0.57;2’295’455;2’295’455;6.36;NA
7;09.10.2023;12:45;09.10.2023;1.00;1.51;1.51;6’050’000;6’050’000;6.78;NA
9;11.10.2023;12:30;16.10.2023;1.00;5.23;5.23;20’937’500;20’937’500;7.32;NA
10;12.10.2023;11:00;16.10.2023;1.00;7.67;7.67;30’687’500;30’687’500;7.49;NA
14;16.10.2023;13:15;16.10.2023;0.10;4.61;4.61;184’375’000;184’375’000;8.27;2.325
15;17.10.2023;14:30;17.10.2023;1.00;31.81;31.81;127’250’000;127’250’000;8.10;2.675
16;18.10.2023;09:00;23.10.2023;0.01;1.17;1.17;467’500’000;467’500’000;8.67;2.775
17;19.10.2023;14:30;23.10.2023;0.01;0.82;0.82;327’777’778;327’777’778;8.52;3.600
21;23.10.2023;13:00;23.10.2023;0.01;1.27;1.27;506’250’000;506’250’000;8.70;3.875
