Tag;Datum_Probenahme;Zeitpunkt_Probenahme;Datum_Auszaehlung;Verduennung;Anzahl_Zellen_p_s;Anzahl_Zellen_unklar;Konzentration_Algen_p_s;Konzentration_Algen_unbestimmt;log10_Konzentration;Trockenmasse_gL;Glucose_mml_l
0;02.10.2023;11:30;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;03.10.2023;13:15;09.10.2023;1;NA;NA;NA;NA;NA;NA;NA
3;05.10.2023;12:15;09.10.2023;1;NA;NA;NA;NA;NA;NA;NA
4;06.10.2023;13:30;09.10.2023;1;0.57;0.57;2295455;2295455;6.36;NA;NA
7;09.10.2023;12:45;09.10.2023;1;1.51;1.51;6050000;6050000;6.78;NA;NA
9;11.10.2023;12:30;16.10.2023;1;5.23;5.23;20937500;20937500;7.32;NA;NA
10;12.10.2023;11:00;16.10.2023;1;7.67;7.67;30687500;30687500;7.49;NA;NA
14;16.10.2023;13:15;16.10.2023;0.1;4.61;4.61;184375000;184375000;8.27;2.325;NA
15;17.10.2023;14:30;17.10.2023;1;31.81;31.81;127250000;127250000;8.1;2.675;NA
16;18.10.2023;09:00;23.10.2023;0.01;1.17;1.17;467500000;467500000;8.67;2.775;NA
17;19.10.2023;14:30;23.10.2023;0.01;0.82;0.82;327777778;327777778;8.52;3.6;NA
21;23.10.2023;13:00;23.10.2023;0.01;1.27;1.27;506250000;506250000;8.7;3.875;NA
23;25.10.2023;14:00;30.10.2023;0.1;7.86;7.86;314375000;314375000;8.5;4.25;0.7
25;27.10.2023;13:00;30.10.2023;0.1;9.98;9.98;399375000;399375000;8.6;4.05;1.7
28;30.10.2023;13:00;30.10.2023;0.01;1.01;1.01;403571429;403571429;8.61;4.725;2
30;01.11.2023;14:20;06.11.2023;0.1;8.86;8.86;354273504;354273504;8.55;4.875;2.1
32;03.11.2023;13:20;06.11.2023;0.1;9.33;9.33;373333333;373333333;8.57;4.35;1.4
35;06.11.2023;13:15;06.11.2023;0.1;10.89;10.89;435666667;435666667;8.64;4.35;2.8
36;07.11.2023;13:00;13.11.2023;0.1;6.68;6.68;267250000;267250000;8.43;2.175;2.9
37;08.11.2023;15:00;13.11.2023;0.1;4.98;4.98;199375000;199375000;8.3;2.025;8.5
39;10.11.2023;13:00;13.11.2023;0.1;2.93;2.93;117368421.1;117368421.1;8.07;1.65;6.1
42;13.11.2023;13:00;13.11.2023;0.1;2.72;2.72;108947368.4;108947368.4;8.04;1.85;2.8
