Tag;Datum_Probenahme;Zeitpunkt_Probenahme;Datum_Auszaehlung;Anzahl_A;Anzahl_B;Verduennung_A;Verduennung_B;Anzahl_A_CFU_50um;Anzahl_B_CFU_50um;Anzahl_A_CFU_100ml;Anzahl_B_CFU_100ml;Anzahl_A_CFU_1L;Anzahl_B_CFU_1L;Mittelwert_L;STD_L
15;45216;0.604166667;45222;23;73;0.001;0.001;23000;73000;46000000;146000000;460000000;1460000000;960000000;500000000
17;45218;0.604166667;45229;13;2;0.001;0.001;13000;2000;26000000;4000000;260000000;40000000;150000000;110000000
21;45222;0.541666667;45229;15;12;0.001;0.001;15000;12000;30000000;24000000;300000000;240000000;270000000;30000000
23;45224;0.583333333;45236;15;19;0.001;0.001;15000;19000;30000000;38000000;300000000;380000000;340000000;40000000
28;45229;0.541666667;45236;66;41;0.001;0.001;66000;41000;132000000;82000000;1320000000;820000000;1070000000;250000000
30;45231;0.597222222;45243;53;45;0.001;0.001;53000;45000;106000000;90000000;1060000000;900000000;980000000;80000000
32;45233;0.555555556;45243;11;11;0.0001;0.0001;110000;110000;220000000;220000000;2200000000;2200000000;2200000000;0
35;45236;0.552083333;45243;20;10;0.0001;0.0001;200000;100000;400000000;200000000;4000000000;2000000000;3000000000;1000000000
39;45240;0.552083333;45251;13;8;0.001;0.001;13000;8000;26000000;16000000;260000000;160000000;210000000;50000000
42;45243;0.552083333;45251;4;7;0.001;0.001;4000;7000;8000000;14000000;80000000;140000000;110000000;30000000
